Molecular Type,X-ray,EM,NMR,Integrative,Multiple methods,Neutron,Other,Total
Protein (only),"178,795","21,825","12,773",343,226,84,32,"214,078"
Protein/Oligosaccharide,"10,363","3,564",34,8,11,1,0,"13,981"
Protein/NA,"9,106","6,335",287,24,7,0,0,"15,759"
Nucleic acid (only),"3,132",221,"1,566",3,15,3,1,"4,941"
Other,175,25,33,4,0,0,0,237
Oligosaccharide (only),11,0,6,0,1,0,4,22
